"","id","region","religion","full.time","sexual.orientation","income","hispanic","race.household","ballot","SES","childhood.income","race","sex","hours.worked.last.week","self.employed","marital.status","num.kids","age","education","education.pa","education.ma","education.spouse","family.income","hispanic.yn"
"12",17,"New england","Protestant","Full-time","Dont know",9945,"Puerto rican","Other, mixed","Ballot c",23.3,"Below average","White","Male",NA,"Someone else","Married",6,56,13,"5","8","16","$50000 to 59999","No"
"13",18,"New england","Protestant","Not applicable","Not applicable",0,"Puerto rican","Other, mixed","Ballot b",25.7,"Below average","Other","Female",NA,"Someone else","Widowed",5,62,10,"Not applicable",NA,"Not applicable","$5 000 to 5 999","No"
"14",19,"New england","None","Full-time","Heterosexual or straight",17550,"Not hispanic","Black","Ballot b",80.9,"Average","Black","Male",40,"Someone else","Never married",0,31,18,"12","14","Not applicable","$35000 to 39999","Yes"
"15",20,"New england","Protestant","Full-time","Not applicable",12870,"Not hispanic","Black","Ballot a",39.2,"Average","Black","Male",40,"Someone else","Divorced",2,43,13,"16","16","Not applicable","$25000 to 29999","Yes"
"16",21,"New england","Catholic","Full-time","Heterosexual or straight",31590,"Not hispanic","White","Ballot b",24.2,"Average","White","Female",40,"Someone else","Never married",0,58,12,"12","12","Not applicable","$90000 to $109999","Yes"
"17",22,"Middle atlantic","None","Full-time","Heterosexual or straight",0,"Not hispanic","Black","Ballot c",33.3,"Average","Black","Female",NA,"Someone else","Never married",3,32,11,"12","12","Not applicable","$40000 to 49999","Yes"
"18",24,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",25740,"Not hispanic","White","Ballot c",66.2,"Average","White","Female",NA,"Someone else","Married",2,37,12,"10","10","12","$60000 to 74999","Yes"
"19",25,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",8775,"Honduran","White","Ballot c",14.8,"Average","White","Female",50,"Someone else","Divorced",2,25,15,"14","Not applicable","Not applicable","$20000 to 22499","No"
"20",31,"Middle atlantic","None","Not applicable","Heterosexual or straight",0,"Not hispanic","White","Ballot b",20.7,"Below average","White","Male",NA,"Someone else","Never married",0,32,12,"12","12","Not applicable","$35000 to 39999","Yes"
"21",33,"Middle atlantic","None","Full-time","Not applicable",56160,"Not hispanic","Other, mixed","Ballot a",65.3,"Below average","White","Male",40,"Someone else","Married",3,55,12,"Not applicable","12","12","$150000 to $169999","Yes"
"22",34,"Middle atlantic","Protestant","Not applicable","Heterosexual or straight",0,"Not hispanic","Other, mixed","Ballot c",65.3,"Below average","Black","Male",NA,"Someone else","Married",1,46,14,"12","16","12","$75000 to $89999","Yes"
"23",35,"Middle atlantic","Catholic","Part-time","Not applicable",0,"Not hispanic","White","Ballot a",80.9,"Far above average","White","Female",NA,"Someone else","Separated",2,58,12,"12","12","Not applicable","$40000 to 49999","Yes"
"24",36,"Middle atlantic","None","Full-time","Heterosexual or straight",21060,"Not hispanic","White","Ballot b",52.5,"Average","White","Male",40,"Someone else","Never married",0,35,12,"Not applicable","12","Not applicable","$90000 to $109999","Yes"
"25",37,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",8775,"Not hispanic","Other, mixed","Ballot b",26.1,"Average","White","Male",25,"Someone else","Married",2,59,16,"12","12","16","$75000 to $89999","Yes"
"26",38,"Middle atlantic","Protestant","Full-time","Not applicable",25740,"Not hispanic","White","Ballot a",80.9,"Below average","White","Female",40,"Someone else","Married",2,43,16,"Not applicable","16","16","$110000 to $129999","Yes"
"27",39,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",56160,"Not hispanic","White","Ballot c",83.8,"Average","White","Female",65,"Someone else","Never married",0,58,16,"16","16","Not applicable","$110000 to $129999","Yes"
"28",41,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",8775,"Not hispanic","White","Ballot c",39.7,"Average","White","Female",39,"Someone else","Never married",1,40,12,"Not applicable","16","Not applicable","$40000 to 49999","Yes"
"29",42,"Middle atlantic","Catholic","Not applicable","Not applicable",0,"Dominican","Other, mixed","Ballot a",21.8,"Average","Other","Female",10,"Someone else","Married",2,44,12,"Not applicable","8","15","$35000 to 39999","No"
"30",44,"Middle atlantic","None","Part-time","Heterosexual or straight",15210,"Not hispanic","White","Ballot c",82.7,"Above average","White","Female",45,"Someone else","Never married",0,36,20,"20","17","Not applicable","$30000 to 34999","Yes"
"31",46,"Middle atlantic","None","Full-time","Heterosexual or straight",38610,"Not hispanic",NA,"Ballot c",83.4,"Far below average","White","Male",45,"Someone else","Never married",0,28,15,"12","16","Not applicable","$75000 to $89999","Yes"
"32",47,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",0,"Not hispanic","Black","Ballot b",80.2,"Average","Black","Female",44,"Someone else","Never married",0,35,16,"12","12","Not applicable","Refused","Yes"
"33",48,"Middle atlantic","None","Full-time","Not applicable",25740,"Not hispanic","White","Ballot a",86.8,"Average","Other","Male",40,"Someone else","Married",0,33,16,"16","12","19","$50000 to 59999","Yes"
"34",50,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",56160,"Not hispanic","White","Ballot b",91.1,"Average","White","Female",50,"Someone else","Divorced",0,47,16,"Not applicable","18","Not applicable","$110000 to $129999","Yes"
"35",51,"Middle atlantic","None","Full-time","Heterosexual or straight",0,"Not hispanic","Asiatic, oriental","Ballot b",43,"Above average","Other","Female",50,"Someone else","Never married",0,25,16,"18","16","Not applicable","$130000 to $149999","Yes"
"36",54,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",164382.0376,"Not hispanic","White","Ballot c",91.1,"Far above average","White","Male",45,"Someone else","Married",2,41,19,"14","12","19","$170000 or over","Yes"
"37",55,"Middle atlantic","Catholic","Part-time","Not applicable",2574,"Not hispanic","White","Ballot a",55.3,"Above average","White","Female",4,"Someone else","Married",3,53,16,"12","12","16","Refused","Yes"
"38",56,"Middle atlantic","Catholic","Part-time","Heterosexual or straight",21060,"Spanish","White","Ballot b",20.1,"Average","White","Female",35,"Self-employed","Married",2,42,16,"14","12","16","$150000 to $169999","No"
"39",57,"Middle atlantic","Jewish","Full-time","Heterosexual or straight",11115,"Not hispanic","White","Ballot b",41.1,"Average","White","Female",40,"Someone else","Divorced",3,40,17,"16","14","Not applicable","$75000 to $89999","Yes"
"40",58,"Middle atlantic","Jewish","Full-time","Heterosexual or straight",31590,"Not hispanic","White","Ballot b",39.7,"Above average","White","Female",40,"Someone else","Divorced",2,57,17,"16","18","Not applicable","$60000 to 74999","Yes"
"41",59,"Middle atlantic","Jewish","Part-time","Heterosexual or straight",4212,"Not hispanic","White","Ballot c",84.5,"Above average","White","Female",40,"Someone else","Divorced",2,59,20,"20","20","Not applicable","$8 000 to 9 999","Yes"
"42",60,"Middle atlantic","Catholic","Part-time","Not applicable",3042,"Puerto rican",NA,"Ballot a",21.6,"Average","White","Female",NA,"Someone else","Never married",3,35,10,"Not applicable","9","Not applicable","$12500 to 14999","No"
"43",61,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",9945,"Not hispanic","Black","Ballot c",29.5,"Average","Black","Male",37,"Someone else","Never married",0,26,13,"Not applicable","14","Not applicable","$20000 to 22499","Yes"
"44",62,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",0,"Not hispanic","Black","Ballot b",39.9,"Far below average","Black","Male",NA,"Someone else","Widowed",2,35,12,"18",NA,"Not applicable","Under $1 000","Yes"
"45",63,"Middle atlantic","Protestant","Not applicable","Not applicable",0,"Not hispanic","Black","Ballot c",-1,"Average","Black","Female",NA,"Not applicable","Separated",3,51,12,"Not applicable","12","Not applicable","$8 000 to 9 999","Yes"
"46",64,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",9945,"Not hispanic","Black","Ballot b",34.7,"Average","Black","Female",NA,"Someone else","Divorced",3,39,13,"12","12","Not applicable","$25000 to 29999","Yes"
"47",65,"Middle atlantic","Protestant","Not applicable","Not applicable",0,"Honduran","Other, mixed","Ballot a",-1,NA,"Other","Female",NA,"Not applicable","Never married",2,27,11,"Not applicable","6","Not applicable","$1 000 to 2 999","No"
"48",66,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",12870,"Puerto rican","Other, mixed","Ballot c",23.3,"Below average","Other","Male",40,"Someone else","Never married",2,30,10,"12","16","Not applicable","$30000 to 34999","No"
"49",67,"Middle atlantic","None","Full-time","Heterosexual or straight",11115,"Puerto rican","Other, mixed","Ballot b",32.6,"Average","Other","Male",40,"Someone else","Never married",2,29,12,"Not applicable","11","Not applicable","$22500 to 24999","No"
"50",68,"Middle atlantic","None","Not applicable","Not applicable",0,"Not hispanic","Black","Ballot a",24.2,"Far below average","Black","Female",NA,"Someone else","Never married",6,39,10,"Not applicable","Not applicable","Not applicable","Under $1 000","Yes"
"51",69,"Middle atlantic","Protestant","Not applicable","Not applicable",0,"Not hispanic","Black","Ballot a",24.2,"Far below average","Black","Female",NA,"Someone else","Divorced",3,60,11,"4","Not applicable","Not applicable",NA,"Yes"
"52",72,"Middle atlantic","Protestant","Full-time","Not applicable",38610,"Not hispanic","Black","Ballot a",73.2,"Far below average","Black","Female",35,"Someone else","Divorced",2,57,14,"14","18","Not applicable","$90000 to $109999","Yes"
"53",75,"Middle atlantic","None","Part-time","Not applicable",21060,"Not hispanic","Black","Ballot a",84.2,"Above average","Black","Female",14,"Someone else","Married",2,35,18,"14","8","12","$75000 to $89999","Yes"
"54",76,"Middle atlantic","Catholic","Not applicable","Not applicable",0,"Not hispanic","Black","Ballot b",-1,"Below average","Black","Female",NA,"Not applicable","Never married",4,49,10,"Not applicable",NA,"Not applicable",NA,"Yes"
"55",77,"Middle atlantic","Protestant","Part-time","Not applicable",25740,"Not hispanic","White","Ballot a",55.1,"Above average","White","Female",50,"Someone else","Never married",0,36,20,"20","18","Not applicable","$50000 to 59999","Yes"
"56",78,"Middle atlantic","Protestant","Full-time","Not applicable",31590,"Not hispanic","Black","Ballot a",72.7,"Average","Black","Female",40,"Someone else","Never married",0,37,18,"20","18","Not applicable","$60000 to 74999","Yes"
"57",80,"Middle atlantic","None","Part-time","Not applicable",0,"Not hispanic","Other, mixed","Ballot c",24.2,NA,"Black","Male",37,"Someone else","Never married",0,41,12,NA,"12","Not applicable","Refused","Yes"
"58",81,"Middle atlantic","None","Full-time","Not applicable",74880,"Not hispanic","Asiatic, oriental","Ballot a",83.8,"Far below average","Other","Male",45,"Someone else","Married",2,42,14,"9","9","14","$170000 or over","Yes"
"59",82,"Middle atlantic","None","Full-time","Bisexual",31590,"Not hispanic","White","Ballot c",32.6,"Below average","White","Female",60,"Someone else","Separated",1,35,14,"Not applicable","13","Not applicable","$60000 to 74999","Yes"
"60",83,"Middle atlantic","Catholic","Full-time","Not applicable",56160,"Not hispanic","White","Ballot a",65.1,"Average","White","Male",48,"Someone else","Married",1,33,16,"16","14","14","$150000 to $169999","Yes"
"61",84,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",38610,"Not hispanic","White","Ballot c",25.2,"Average","White","Male",40,"Someone else","Divorced",3,44,12,"12","12","Not applicable","$150000 to $169999","Yes"
"62",85,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",25740,"Not hispanic","White","Ballot c",61.9,"Average","White","Male",46,"Someone else","Married",3,41,16,"12","14","14","$60000 to 74999","Yes"
"63",86,"Middle atlantic","None","Full-time","Not applicable",21060,"Not hispanic","White","Ballot a",55.3,"Average","White","Male",48,"Someone else","Divorced",2,52,12,"12","12","Not applicable","$40000 to 49999","Yes"
"64",87,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",38610,"Not hispanic","White","Ballot b",81.9,"Below average","White","Female",40,"Someone else","Never married",0,45,16,"12","12","Not applicable","$75000 to $89999","Yes"
"65",88,"Middle atlantic","Catholic","Full-time","Not applicable",11115,"Dominican","Other, mixed","Ballot a",20.7,"Below average","Other","Female",50,"Someone else","Divorced",1,41,13,"12","0","Not applicable","$22500 to 24999","No"
"66",89,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",8775,"Dominican","Other, mixed","Ballot c",14,"Far below average","White","Female",40,"Someone else","Separated",3,41,12,"1","6","Not applicable","$22500 to 24999","No"
"67",91,"Middle atlantic","None","Not applicable","Heterosexual or straight",0,"Not hispanic","Black","Ballot b",24.2,"Below average","Black","Female",NA,"Someone else","Never married",3,57,12,"12","14","Not applicable","$22500 to 24999","Yes"
"68",94,"Middle atlantic","None","Full-time","Heterosexual or straight",46800,"Not hispanic","White","Ballot c",86.6,"Below average","White","Male",40,"Someone else","Never married",0,50,16,"Not applicable","14","Not applicable","$90000 to $109999","Yes"
"69",95,"Middle atlantic","Other","Full-time","Gay, lesbian, or homosexual",65520,"Not hispanic","White","Ballot c",57.8,"Average","White","Male",70,"Someone else","Never married",0,40,17,"13","14","Not applicable","$130000 to $149999","Yes"
"70",96,"Middle atlantic","Protestant","Full-time","Gay, lesbian, or homosexual",25740,"Not hispanic","White","Ballot b",60.1,"Above average","White","Male",NA,"Self-employed","Never married",0,58,15,"8","12","Not applicable","$50000 to 59999","Yes"
"71",97,"Middle atlantic","Catholic","Part-time","Gay, lesbian, or homosexual",9945,"Mexican, mexican american, chicano/a","White","Ballot b",27.6,"Average","White","Male",NA,"Self-employed","Never married",0,43,16,"Not applicable","16","Not applicable","$20000 to 22499","No"
"72",98,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",3042,"Not hispanic","Black","Ballot b",61.4,"Below average","Black","Male",45,"Someone else","Never married",0,25,16,"20","16","Not applicable","$6 000 to 6 999","Yes"
"73",99,"Middle atlantic","None","Full-time","Heterosexual or straight",4212,"Not hispanic","Asiatic, oriental","Ballot c",92.8,"Average","Other","Male",40,"Someone else","Never married",0,33,20,"16","16","Not applicable","$35000 to 39999","Yes"
"74",100,"Middle atlantic","None","Part-time","Not applicable",31590,"Not hispanic","White","Ballot c",38.8,"Above average","White","Male",30,"Self-employed","Never married",0,27,16,"Not applicable","16","Not applicable","$170000 or over","Yes"
"75",101,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",15210,"Not hispanic","Black","Ballot c",56.8,"Far below average","Black","Female",37,"Someone else","Married",2,58,16,"Not applicable","7","16","$50000 to 59999","Yes"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",105,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",0,"Puerto rican","White","Ballot c",67.7,"Average","Other","Female",42,"Someone else","Married",2,29,14,"Not applicable","14","16","$60000 to 74999","No"
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",108,"Middle atlantic","Catholic","Not applicable","Not applicable",0,"Puerto rican","White","Ballot a",26.1,"Below average","White","Female",NA,"Someone else","Never married",3,52,12,"Not applicable","4","Not applicable","$10000 to 12499","No"
"80",109,"Middle atlantic","Catholic","Not applicable","Not applicable",0,"Not hispanic","White","Ballot a",32,"Average","White","Male",NA,"Someone else","Never married",0,50,11,"Not applicable","10","Not applicable","$12500 to 14999","Yes"
"81",110,"Middle atlantic","Protestant","Part-time","Heterosexual or straight",0,"Not hispanic","White","Ballot c",41.8,"Average","White","Female",4,"Someone else","Married",1,25,16,"16","14","13","$35000 to 39999","Yes"
"82",111,"Middle atlantic","Catholic","Full-time","Not applicable",65520,"Not hispanic","Other, mixed","Ballot a",37.6,"Above average","White","Male",40,"Someone else","Married",2,37,16,"16","12","18","$130000 to $149999","Yes"
"83",112,"Middle atlantic","Jewish","Full-time","Heterosexual or straight",0,"Not hispanic","White","Ballot c",76.3,"Average","White","Female",50,"Someone else","Divorced",2,54,16,"16","12","Not applicable","Refused","Yes"
"84",113,"Middle atlantic","Moslem/islam","Full-time","Not applicable",0,"Not hispanic","Asiatic, oriental","Ballot a",28.5,NA,"Other","Male",51,"Self-employed","Married",3,52,14,"Not applicable","0",NA,"Refused","Yes"
"85",114,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",46800,"Columbian","White","Ballot b",24,"Above average","White","Male",35,"Someone else","Married",0,48,14,"12","10","16","$170000 or over","No"
"86",115,"Middle atlantic","Hinduism","Full-time","Heterosexual or straight",0,"Not hispanic","Asiatic, oriental","Ballot b",92.8,"Above average","Other","Female",60,"Someone else","Married",0,32,20,"18","18","12","Refused","Yes"
"87",116,"Middle atlantic","Protestant","Not applicable","Heterosexual or straight",0,"Not hispanic","White","Ballot c",60.3,"Far below average","White","Female",15,"Self-employed","Married",0,29,17,"14","17","16","Under $1 000","Yes"
"88",118,"Middle atlantic","Catholic","Full-time","Gay, lesbian, or homosexual",164382.0376,"Not hispanic","Other, mixed","Ballot b",83.4,"Below average","White","Female",45,"Self-employed","Married",0,59,19,"11","11","16","$170000 or over","Yes"
"89",121,"Middle atlantic","Protestant","Full-time","Not applicable",56160,"Not hispanic","White","Ballot a",82.5,"Average","White","Female",40,"Someone else","Married",2,55,18,"Not applicable","12","18","$170000 or over","Yes"
"90",122,"Middle atlantic","Catholic","Part-time","Heterosexual or straight",8775,"Not hispanic","White","Ballot c",25.7,"Below average","White","Female",20,"Someone else","Never married",0,52,15,"Not applicable",NA,"Not applicable","$75000 to $89999","Yes"
"91",123,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",0,"South american","White","Ballot c",38.3,NA,"White","Female",25,"Someone else","Never married",1,33,16,"12","12","Not applicable","Refused","No"
"92",124,"Middle atlantic","Catholic","Full-time","Not applicable",56160,"Not hispanic","White","Ballot a",67.7,"Average","White","Male",40,"Self-employed","Divorced",2,56,12,"10","Not applicable","Not applicable","$170000 or over","Yes"
"93",127,"Middle atlantic","Catholic","Full-time","Not applicable",46800,"Not hispanic","White","Ballot a",46.5,"Below average","White","Female",40,"Someone else","Married",3,49,12,"12","12","12","$130000 to $149999","Yes"
"94",128,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",38610,"Not hispanic","White","Ballot c",67.7,"Above average","White","Male",50,"Someone else","Never married",0,26,16,"16","16","Not applicable","$170000 or over","Yes"
"95",129,"Middle atlantic","Catholic","Full-time","Heterosexual or straight",31590,"Not hispanic","White","Ballot b",72.7,"Above average","White","Female",40,"Someone else","Never married",0,33,16,"16","15","Not applicable","$60000 to 74999","Yes"
"96",130,"Middle atlantic","Catholic","Full-time","Not applicable",31590,"Columbian","Other, mixed","Ballot a",39.7,"Below average","White","Male",65,"Someone else","Married",0,36,20,"12","12","17","$110000 to $129999","No"
"97",132,"Middle atlantic","Catholic","Full-time","Not applicable",31590,"Not hispanic","Other, mixed","Ballot a",64.2,"Below average","Black","Female",40,"Someone else","Never married",2,27,16,"Not applicable","14","Not applicable","$60000 to 74999","Yes"
"98",133,"Middle atlantic","Christian","Full-time","Heterosexual or straight",2106,"Not hispanic","Black","Ballot c",52,"Average","Black","Female",NA,"Someone else","Never married",1,60,14,"12","16","Not applicable","$12500 to 14999","Yes"
"99",134,"Middle atlantic","Jewish","Full-time","Not applicable",25740,"Not hispanic","White","Ballot a",38.2,"Above average","White","Male",52,"Someone else","Never married",0,48,12,"16","14","Not applicable","$50000 to 59999","Yes"
"100",135,"Middle atlantic","Protestant","Full-time","Heterosexual or straight",21060,"Not hispanic","Black","Ballot c",54.6,"Above average","Black","Female",50,"Someone else","Married",3,47,12,"9","Not applicable","12","$50000 to 59999","Yes"
"101",136,"Middle atlantic","Catholic","Full-time","Not applicable",0,"Not hispanic","White","Ballot a",37.8,"Above average","White","Female",40,"Someone else","Never married",0,36,14,"8","12","Not applicable","Refused","Yes"
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",138,"New england","Protestant","Part-time","Heterosexual or straight",936,"Not hispanic","Other, mixed","Ballot c",59.9,"Average","White","Female",NA,"Someone else","Separated",2,64,12,"11","12","Not applicable","$12500 to 14999","Yes"
"104",139,"New england","None","Full-time","Not applicable",31590,"Not hispanic","White","Ballot a",38.8,"Average","White","Female",50,"Someone else","Never married",0,38,16,"14","12","Not applicable","$150000 to $169999","Yes"
"105",140,"New england","Catholic","Not applicable","Heterosexual or straight",0,"Not hispanic","White","Ballot c",25.1,"Average","White","Male",NA,"Someone else","Widowed",1,62,12,"8","12","Not applicable","$60000 to 74999","Yes"
"106",141,"New england","Protestant","Not applicable","Not applicable",0,"Not hispanic","White","Ballot a",82.5,"Average","White","Female",NA,"Someone else","Married",3,62,16,"10","12","14","$90000 to $109999","Yes"
"107",142,"New england","Protestant","Not applicable","Not applicable",0,"Not hispanic","White","Ballot c",42.9,"Below average","White","Female",NA,"Someone else","Married",5,65,14,"12","14","16","Refused","Yes"
"108",143,"New england","Catholic","Full-time","Not applicable",0,"Not hispanic","White","Ballot a",67.7,"Below average","White","Male",43,"Self-employed","Married",2,60,14,"12","12","15",NA,"Yes"
"109",144,"New england","None","Not applicable","Heterosexual or straight",0,"Not hispanic","White","Ballot c",61.2,"Average","White","Female",NA,"Someone else","Divorced",1,47,16,"Not applicable","14","Not applicable","$1 000 to 2 999","Yes"
"110",145,"New england","None","Full-time","Heterosexual or straight",31590,"Not hispanic","White","Ballot b",45.4,"Average","White","Male",40,"Someone else","Divorced",0,62,14,"12","13","Not applicable","$60000 to 74999","Yes"
"111",146,"Pacific","Jewish","Full-time","Heterosexual or straight",65520,"Not hispanic","White","Ballot b",67.7,"Average","White","Female",40,"Someone else","Married",2,51,16,"16","14","18","$170000 or over","Yes"
"112",147,"Pacific","None","Part-time","Heterosexual or straight",164382.0376,"Not hispanic","White","Ballot c",78.3,"Above average","White","Female",45,"Someone else","Married",2,43,16,"19","16","16","$170000 or over","Yes"
"113",148,"Pacific","Buddhism","Full-time","Heterosexual or straight",164382.0376,"Not hispanic","Asiatic, oriental","Ballot b",43,"Far below average","Other","Male",60,"Someone else","Married",2,47,14,"6","6","4","$170000 or over","Yes"
"114",149,"Pacific","Christian","Full-time","Heterosexual or straight",31590,"Not hispanic","White","Ballot b",67.7,"Average","White","Female",40,"Someone else","Divorced",1,57,12,"14","12","Not applicable","$60000 to 74999","Yes"
"115",150,"Pacific","None","Full-time","Not applicable",17550,"Not hispanic","White","Ballot a",59.1,"Above average","White","Male",30,"Self-employed","Never married",0,30,16,"18","18","Not applicable","$35000 to 39999","Yes"
"116",151,"Pacific","Protestant","Full-time","Heterosexual or straight",21060,"Not hispanic","White","Ballot c",52.3,"Average","White","Male",60,"Self-employed","Married",0,39,18,"20","17","20","$170000 or over","Yes"
"117",152,"Pacific","None","Part-time","Not applicable",15210,"Not hispanic","White","Ballot b",61.4,"Average","White","Female",40,"Someone else","Never married",0,37,15,"14","14","Not applicable","$40000 to 49999","Yes"
"118",153,"Pacific","Catholic","Part-time","Not applicable",0,"Not hispanic","White","Ballot c",55.3,"Average","Other","Female",10,"Someone else","Married",0,52,12,NA,NA,"12","Refused","Yes"
"119",154,"Pacific","Catholic","Full-time","Not applicable",8775,"Mexican, mexican american, chicano/a","White","Ballot a",82.5,"Below average","Other","Female",45,"Someone else","Never married",0,61,18,"12","12","Not applicable","$17500 to 19999","No"
"120",155,"Pacific","None","Full-time","Heterosexual or straight",25740,"Not hispanic","White","Ballot c",31.1,"Average","White","Male",30,"Someone else","Married",1,58,12,"12","12","8","$75000 to $89999","Yes"
"121",156,"Pacific","Catholic","Part-time","Not applicable",0,"Argentinian","White","Ballot a",19.6,"Average","White","Male",35,"Someone else","Never married",0,31,14,"16","14","Not applicable","$5 000 to 5 999","No"
"122",157,"Pacific","Buddhism","Part-time","Heterosexual or straight",11115,"Not hispanic","Asiatic, oriental","Ballot c",61.4,"Below average","Other","Female",20,"Self-employed","Married",2,52,16,"8","0","12","$40000 to 49999","Yes"
"123",158,"Pacific","Catholic","Not applicable","Not applicable",0,"Mexican, mexican american, chicano/a","White","Ballot a",-1,"Far below average","White","Female",NA,"Not applicable","Married",2,46,16,"7","2","16","$40000 to 49999","No"
"124",159,"Pacific","Protestant","Full-time","Heterosexual or straight",21060,"Mexican, mexican american, chicano/a","White","Ballot b",65.3,"Above average","White","Female",40,"Someone else","Married",1,25,13,"6","14","12","$110000 to $129999","No"
"125",160,"Pacific","Catholic","Full-time","Not applicable",31590,"Mexican, mexican american, chicano/a","White","Ballot a",31.2,"Above average","Other","Male",42,"Someone else","Widowed",4,54,12,NA,NA,"Not applicable","$90000 to $109999","No"
"126",161,"Pacific","Catholic","Full-time","Heterosexual or straight",25740,"Not hispanic","White","Ballot b",46.6,"Average","Other","Female",40,"Someone else","Divorced",1,33,15,"14","12","Not applicable","$50000 to 59999","Yes"
"127",162,"Pacific","Hinduism","Full-time","Not applicable",0,"Not hispanic","Asiatic, oriental","Ballot a",77,"Far below average","Other","Male",45,"Someone else","Married",1,33,18,"15","12","18","$75000 to $89999","Yes"
"128",163,"Pacific","Catholic","Part-time","Heterosexual or straight",6435,"Not hispanic","White","Ballot c",19.6,"Below average","White","Female",16,"Someone else","Divorced",2,61,12,"Not applicable","6","Not applicable","$12500 to 14999","Yes"
"129",164,"Pacific","Catholic","Not applicable","Not applicable",0,"Mexican, mexican american, chicano/a","White","Ballot a",13.2,NA,"White","Female",NA,"Someone else","Widowed",4,65,NA,"3","2","Not applicable","Refused","No"
